Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado
11:1:49;9;6.380626;-75.470452;0.00;0;1413;-0.090;0.000;0;0;0;0;1.79;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:50;9;6.380625;-75.470449;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:50;9;6.380624;-75.470449;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:50;9;6.380624;-75.470449;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380624;-75.470449;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380624;-75.470448;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380624;-75.470448;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380623;-75.470448;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380623;-75.470448;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380623;-75.470447;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380623;-75.470447;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380623;-75.470447;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380622;-75.470446;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:51;9;6.380622;-75.470446;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:52;9;6.380622;-75.470446;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:52;9;6.380622;-75.470445;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:52;9;6.380622;-75.470445;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:52;9;6.380621;-75.470445;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
